2026-06-30 11:50:46 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 11:50:46 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 11:52:55 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 11:52:55 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 11:52:55 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 11:52:56 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'use_reversal_candle': False, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'fixed_stop_loss': 8, 'take_profit_atr': 3.0, 'use_atr_stop': True, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'atr_period': 14, 'stop_loss_atr': 1.5, 'use_trailing_stop': False})
2026-06-30 11:52:58 | INFO  | 共处理 4991 根K线
2026-06-30 11:52:58 | INFO  | 回测完成
2026-06-30 11:52:58 | INFO  | 交易明细已保存: results\report.csv
2026-06-30 11:52:58 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 11:52:59 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 11:54:40 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 11:54:40 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 11:54:40 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 11:54:40 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'use_reversal_candle': False, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'fixed_stop_loss': 5, 'take_profit_atr': 3.0, 'use_atr_stop': True, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'atr_period': 14, 'stop_loss_atr': 1.5, 'use_trailing_stop': False})
2026-06-30 11:54:43 | INFO  | 共处理 4991 根K线
2026-06-30 11:54:43 | INFO  | 回测完成
2026-06-30 11:54:43 | INFO  | 交易明细已保存: results\report.csv
2026-06-30 11:54:43 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 11:54:43 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 11:56:28 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 11:56:28 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
